DATE,Analysed,Reference,vals,HOM
2020-01-18,1288385.8820062913,168553.26205958426,1119832.619946707,1288385.8820062913
2020-01-19,3492186.8886066712,692222.49396272,2799964.394643951,3492186.8886066712
2020-01-20,2337487.235047225,1103184.1399231106,1234303.0951241143,2337487.235047225
2020-01-21,4999151.282105569,1060844.0707271248,3938307.211378444,4999151.282105569
2020-01-22,2346370.334457997,1359133.7102180235,987236.6242399737,2346370.334457997
2020-01-23,3828140.184270505,727420.8148793299,3100719.369391175,3828140.184270505
2020-01-24,1794718.9928499497,1261780.8869536072,532938.1058963425,1794718.9928499497
2020-01-25,1129749.4961768426,1094704.8473377377,35044.64883910492,1129749.4961768426
2020-01-26,2825705.4959903993,1208697.2249399573,1617008.271050442,2825705.4959903993
2020-01-27,2421154.4057217874,1142840.3860012777,1278314.0197205096,2421154.4057217874
2020-01-28,-333430.1254953109,310523.58897675574,-643953.7144720666,-333430.1254953109
2020-01-29,3402075.3985546865,813076.1344290739,2588999.2641256126,3402075.3985546865
2020-01-30,-266742.33739006147,64664.324677720666,-331406.66206778213,-266742.33739006147
2020-01-31,2551620.476919774,601898.9528364092,1949721.5240833648,2551620.476919774
2020-02-01,300082.002916459,246070.4211999327,54011.5817165263,300082.002916459
2020-02-02,1566449.2130700387,-269747.9266694635,1836197.1397395022,1566449.2130700387
2020-02-03,-513795.5562971793,-105725.38334013522,-408070.1729570441,-513795.5562971793
2020-02-04,2440753.536068801,76169.04826880991,2364584.487799991,2440753.536068801
2020-02-05,-1345659.586479541,-314625.0211173445,-1031034.5653621964,-1345659.586479541
2020-02-06,1708510.5040887631,1383618.7396388203,324891.76444994286,1708510.5040887631
2020-02-07,-600393.707148429,295439.21279675234,-895832.9199451813,-600393.707148429
2020-02-08,264375.6829379834,489554.2246312052,-225178.54169322178,264375.6829379834
2020-02-09,-322101.95917665586,-445046.4507857412,122944.49160908535,-322101.95917665586
2020-02-10,1119765.4154106416,1001086.5820419043,118678.83336873725,1119765.4154106416
2020-02-11,163497.14955771342,-278814.55618964136,442311.7057473548,163497.14955771342
2020-02-12,-696993.0406054221,-583658.7310896069,-113334.30951581523,-696993.0406054221
2020-02-13,1479677.3105810918,1195189.9653168116,284487.3452642802,1479677.3105810918
2020-02-14,-1741384.229138013,275884.18086428195,-2017268.410002295,-1741384.229138013
2020-02-15,1256789.4671500959,893486.6681518108,363302.7989982851,1256789.4671500959
2020-02-16,1727951.1231821813,1160767.7560728937,567183.3671092875,1727951.1231821813
2020-02-17,-731959.553989049,-166439.4849095801,-565520.069079469,-731959.553989049
